Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A[1] ,A[2] 
BA1653,BL,4,1,0,0,1,0,0,0,0,0
BA1653,BL,4,1,50,1,2,0,0,0,0,0
BA1653,BL,4,1,51,2,3,0,0,0,0,0
BA1653,BL,4,1,154,3,5,1,1,0,0,0
BA1653,BL,4,1,164,5,4,0,0,0,0,0
BA1653,BL,4,1,182,4,0,0,0,0,1,0
BA1653,BL,4,1,253,4,5,1,1,0,0,0
BA1653,BL,4,1,263,5,9,0,0,0,0,0
BA1653,BL,4,1,273,9,10,0,0,0,0,0
BA1653,BL,4,1,274,10,0,0,0,0,1,0
BA1653,BL,4,1,348,10,2,0,0,0,0,0
BA1653,BL,4,1,349,2,6,0,0,0,0,0
BA1653,BL,4,1,400,6,8,2,0,1,0,0
BA1653,BL,4,1,410,8,7,0,0,0,0,0
BA1653,BL,4,1,425,7,0,0,0,0,0,1
BA1653,BL,4,1,595,7,0,0,1,0,0,0
BA1653,BL,4,1,632,7,0,0,0,0,1,0
BA1653,BL,4,1,676,7,0,0,1,0,0,0
BA1653,BL,4,1,709,7,0,0,0,0,1,0
BA1653,BL,4,1,784,7,0,0,1,0,0,0
BA1653,BL,4,1,805,7,0,0,0,0,1,0
BA1653,BL,4,1,845,7,8,2,0,1,0,0
BA1653,BL,4,1,855,8,9,0,0,0,0,0
BA1653,BL,4,1,865,9,10,0,0,0,0,0
BA1653,BL,4,1,869,10,0,0,0,0,0,1
BA1653,BL,4,1,940,10,2,0,0,0,0,0
BA1653,BL,4,1,941,2,6,0,0,0,0,0
BA1653,BL,4,1,952,6,0,0,1,0,0,0
BA1653,BL,4,1,976,6,0,0,0,0,1,0
BA1653,BL,4,1,1014,6,8,2,0,1,0,0
BA1653,BL,4,1,1024,8,7,0,0,0,0,0
BA1653,BL,4,1,1038,7,0,0,0,0,0,1
BA1653,BL,4,1,1091,7,8,2,0,1,0,0
BA1653,BL,4,1,1101,8,9,0,0,0,0,0
BA1653,BL,4,1,1109,9,0,0,0,0,0,1
BA1653,BL,4,1,1111,9,10,0,0,0,0,0
BA1653,BL,4,1,1112,10,0,0,0,1,0,0
BA1653,BL,4,1,1118,10,0,0,0,0,0,1
BA1653,BL,4,1,1186,10,2,0,0,0,0,0
BA1653,BL,4,1,1187,2,6,0,0,0,0,0
BA1653,BL,4,1,1333,6,8,2,0,1,0,0
BA1653,BL,4,1,1343,8,7,0,0,0,0,0
BA1653,BL,4,1,1369,7,0,0,0,0,0,1
BA1653,BL,4,1,1372,7,8,2,0,1,0,0
BA1653,BL,4,1,1382,8,9,0,0,0,0,0
BA1653,BL,4,1,1383,9,0,0,0,0,0,1
BA1653,BL,4,1,1392,9,10,0,0,0,0,0
BA1653,BL,4,1,1467,10,2,0,0,0,0,0
BA1653,BL,4,1,1468,2,3,0,0,0,0,0
BA1653,BL,4,1,1509,3,5,1,1,0,0,0
BA1653,BL,4,1,1519,5,4,0,0,0,0,0
BA1653,BL,4,1,1551,4,0,0,0,0,1,0
BA1653,BL,4,1,1622,4,5,1,1,0,0,0
BA1653,BL,4,1,1632,5,9,0,0,0,0,0
BA1653,BL,4,1,1640,9,0,0,0,0,1,0
BA1653,BL,4,1,1642,9,10,0,0,0,0,0
BA1653,BL,4,1,1717,10,2,0,0,0,0,0
BA1653,BL,4,1,1718,2,3,0,0,0,0,0
BA1653,BL,4,1,1776,3,5,1,1,0,0,0
BA1653,BL,4,1,1786,5,4,0,0,0,0,0
BA1653,BL,4,1,1817,4,0,0,0,0,1,0
BA1653,BL,4,1,1912,4,5,1,1,0,0,0
BA1653,BL,4,1,1922,5,9,0,0,0,0,0
BA1653,BL,4,1,1930,9,0,0,0,0,1,0
BA1653,BL,4,1,1932,9,10,0,0,0,0,0
BA1653,BL,4,1,2007,10,2,0,0,0,0,0
BA1653,BL,4,1,2008,2,6,0,0,0,0,0
BA1653,BL,4,1,2064,6,8,2,0,1,0,0
BA1653,BL,4,1,2074,8,7,0,0,0,0,0
BA1653,BL,4,1,2093,7,0,0,0,0,0,1
BA1653,BL,4,1,2170,7,8,2,0,1,0,0
BA1653,BL,4,1,2180,8,9,0,0,0,0,1
BA1653,BL,4,1,2187,9,0,0,0,1,0,0
BA1653,BL,4,1,2190,9,10,0,0,0,0,0
BA1653,BL,4,1,2203,10,0,0,0,0,0,1
BA1653,BL,4,1,2265,10,2,0,0,0,0,0
BA1653,BL,4,1,2266,2,6,0,0,0,0,0
