Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A[1] ,A[2] 
BA1651,BL,1,1,0,0,1,0,0,0,0,0
BA1651,BL,1,1,50,1,2,0,0,0,0,0
BA1651,BL,1,1,51,2,3,0,0,0,0,0
BA1651,BL,1,1,368,3,5,1,1,0,0,0
BA1651,BL,1,1,378,5,4,0,0,0,0,0
BA1651,BL,1,1,429,4,0,0,0,0,1,0
BA1651,BL,1,1,509,4,0,0,0,1,0,0
BA1651,BL,1,1,584,4,0,0,0,0,0,1
BA1651,BL,1,1,697,4,5,1,1,0,0,0
BA1651,BL,1,1,707,5,9,0,0,0,0,0
BA1651,BL,1,1,717,9,10,0,0,0,0,0
BA1651,BL,1,1,721,10,0,0,0,0,1,0
BA1651,BL,1,1,792,10,2,0,0,0,0,0
BA1651,BL,1,1,793,2,6,0,0,0,0,0
BA1651,BL,1,1,867,6,0,0,1,0,0,0
BA1651,BL,1,1,905,6,0,0,0,0,1,0
BA1651,BL,1,1,948,6,0,0,1,0,0,0
BA1651,BL,1,1,973,6,0,0,0,0,1,0
BA1651,BL,1,1,1454,6,8,2,0,1,0,0
BA1651,BL,1,1,1461,8,0,0,0,0,0,1
BA1651,BL,1,1,1464,8,7,0,0,0,0,0
BA1651,BL,1,1,1571,7,8,2,0,1,0,0
BA1651,BL,1,1,1581,8,9,0,0,0,0,0
BA1651,BL,1,1,1591,9,10,0,0,0,0,1
BA1651,BL,1,1,1666,10,2,0,0,0,0,0
BA1651,BL,1,1,1667,2,6,0,0,0,0,0
BA1651,BL,1,1,1686,6,8,2,0,1,0,0
BA1651,BL,1,1,1696,8,7,0,0,0,0,0
BA1651,BL,1,1,1727,7,0,0,0,0,0,1
BA1651,BL,1,1,1736,7,8,2,0,1,0,0
BA1651,BL,1,1,1746,8,9,0,0,0,0,0
BA1651,BL,1,1,1756,9,10,0,0,0,0,0
BA1651,BL,1,1,1763,10,0,0,0,0,0,1
BA1651,BL,1,1,1831,10,2,0,0,0,0,0
BA1651,BL,1,1,1832,2,6,0,0,0,0,0
BA1651,BL,1,1,2060,6,8,2,0,1,0,0
BA1651,BL,1,1,2070,8,7,0,0,0,0,0
BA1651,BL,1,1,2086,7,0,0,0,0,0,1
BA1651,BL,1,1,2206,7,8,2,0,1,0,0
BA1651,BL,1,1,2216,8,9,0,0,0,0,0
BA1651,BL,1,1,2226,9,10,0,0,0,0,0
BA1651,BL,1,1,2229,10,0,0,0,0,0,1
BA1651,BL,1,1,2301,10,2,0,0,0,0,0
BA1651,BL,1,1,2302,2,3,0,0,0,0,0
BA1651,BL,1,1,2348,3,0,0,0,1,0,0
BA1651,BL,1,1,2387,3,0,0,0,0,0,1
BA1651,BL,1,1,2413,3,0,0,0,1,0,0
BA1651,BL,1,1,2429,3,0,0,0,0,0,1
BA1651,BL,1,1,2486,3,0,0,0,1,0,0
BA1651,BL,1,1,2502,3,0,0,0,0,0,1
BA1651,BL,1,1,2585,3,5,1,1,0,0,0
BA1651,BL,1,1,2595,5,4,0,0,0,0,0
BA1651,BL,1,1,2642,4,0,0,0,0,1,0
BA1651,BL,1,1,2662,4,5,1,1,0,0,0
BA1651,BL,1,1,2672,5,9,0,0,0,0,0
BA1651,BL,1,1,2682,9,10,0,0,0,0,0
BA1651,BL,1,1,2685,10,0,0,0,0,1,0
BA1651,BL,1,1,2757,10,2,0,0,0,0,0
BA1651,BL,1,1,2758,2,3,0,0,0,0,0
BA1651,BL,1,1,2781,3,0,0,0,1,0,0
BA1651,BL,1,1,2799,3,0,0,0,0,0,1
BA1651,BL,1,1,2819,3,0,0,0,1,0,0
BA1651,BL,1,1,2826,3,0,0,0,0,0,1
BA1651,BL,1,1,2828,3,0,0,0,1,0,0
BA1651,BL,1,1,2879,3,0,0,0,0,0,1
