Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A[1] ,A[2] 
BA1653,EF,8,1,0,0,1,0,0,0,0,0
BA1653,EF,8,1,50,1,2,0,0,0,0,0
BA1653,EF,8,1,51,2,6,0,0,0,0,0
BA1653,EF,8,1,7590,6,0,0,1,0,0,0
BA1653,EF,8,1,7731,6,0,0,0,0,1,0
BA1653,EF,8,1,10390,6,8,2,0,1,0,0
BA1653,EF,8,1,10400,8,9,0,0,0,0,0
BA1653,EF,8,1,10410,9,10,0,0,0,0,0
BA1653,EF,8,1,10411,10,0,0,0,0,0,1
BA1653,EF,8,1,10485,10,2,0,0,0,0,0
BA1653,EF,8,1,10486,2,6,0,0,0,0,0
BA1653,EF,8,1,10572,6,8,2,0,1,0,0
BA1653,EF,8,1,10582,8,9,0,0,0,0,0
BA1653,EF,8,1,10592,9,10,0,0,0,0,0
BA1653,EF,8,1,10593,10,0,0,0,0,0,1
BA1653,EF,8,1,10667,10,2,0,0,0,0,0
BA1653,EF,8,1,10668,2,6,0,0,0,0,0
BA1653,EF,8,1,10771,6,8,2,0,1,0,0
BA1653,EF,8,1,10781,8,9,0,0,0,0,0
BA1653,EF,8,1,10791,9,10,0,0,0,0,0
BA1653,EF,8,1,10809,10,0,0,0,0,0,1
BA1653,EF,8,1,10866,10,2,0,0,0,0,0
BA1653,EF,8,1,10867,2,3,0,0,0,0,0
BA1653,EF,8,1,10996,3,0,0,0,1,0,0
BA1653,EF,8,1,11026,3,0,0,0,0,0,1
BA1653,EF,8,1,11308,3,0,0,0,1,0,0
BA1653,EF,8,1,11309,3,0,0,0,0,0,1
BA1653,EF,8,1,11325,3,0,0,0,1,0,0
BA1653,EF,8,1,11344,3,0,0,0,0,0,1
BA1653,EF,8,1,11690,3,5,1,1,0,0,0
BA1653,EF,8,1,11693,5,0,0,0,0,1,0
BA1653,EF,8,1,11700,5,9,0,0,0,0,0
BA1653,EF,8,1,11710,9,10,0,0,0,0,0
BA1653,EF,8,1,11785,10,2,0,0,0,0,0
BA1653,EF,8,1,11786,2,6,0,0,0,0,0
BA1653,EF,8,1,11867,6,8,2,0,1,0,0
BA1653,EF,8,1,11877,8,9,0,0,0,0,0
BA1653,EF,8,1,11887,9,10,0,0,0,0,0
BA1653,EF,8,1,11897,10,0,0,0,0,0,1
BA1653,EF,8,1,11962,10,2,0,0,0,0,0
BA1653,EF,8,1,11963,2,6,0,0,0,0,0
BA1653,EF,8,1,12076,6,8,2,0,1,0,0
BA1653,EF,8,1,12086,8,9,0,0,0,0,0
BA1653,EF,8,1,12096,9,10,0,0,0,0,0
BA1653,EF,8,1,12105,10,0,0,0,0,0,1
BA1653,EF,8,1,12171,10,2,0,0,0,0,0
BA1653,EF,8,1,12172,2,3,0,0,0,0,0
BA1653,EF,8,1,12575,3,5,1,1,0,0,0
BA1653,EF,8,1,12585,5,9,0,0,0,0,0
BA1653,EF,8,1,12594,9,0,0,0,0,1,0
BA1653,EF,8,1,12595,9,10,0,0,0,0,0
BA1653,EF,8,1,12670,10,2,0,0,0,0,0
BA1653,EF,8,1,12671,2,6,0,0,0,0,0
BA1653,EF,8,1,12964,6,0,0,1,0,0,0
BA1653,EF,8,1,13002,6,0,0,0,0,1,0
BA1653,EF,8,1,13059,6,8,2,0,1,0,0
BA1653,EF,8,1,13069,8,9,0,0,0,0,0
BA1653,EF,8,1,13079,9,10,0,0,0,0,0
BA1653,EF,8,1,13081,10,0,0,0,0,0,1
BA1653,EF,8,1,13154,10,2,0,0,0,0,0
BA1653,EF,8,1,13155,2,6,0,0,0,0,0
BA1653,EF,8,1,13202,6,8,2,0,1,0,0
BA1653,EF,8,1,13212,8,9,0,0,0,0,0
BA1653,EF,8,1,13222,9,10,0,0,0,0,0
BA1653,EF,8,1,13229,10,0,0,0,0,0,1
BA1653,EF,8,1,13297,10,2,0,0,0,0,0
BA1653,EF,8,1,13298,2,3,0,0,0,0,0
BA1653,EF,8,1,13347,3,0,0,0,1,0,0
BA1653,EF,8,1,13399,3,0,0,0,0,0,1
BA1653,EF,8,1,13436,3,0,0,0,1,0,0
BA1653,EF,8,1,13493,3,0,0,0,0,0,1
BA1653,EF,8,1,13551,3,5,1,1,0,0,0
BA1653,EF,8,1,13561,5,9,0,0,0,0,0
BA1653,EF,8,1,13571,9,10,0,0,0,1,0
BA1653,EF,8,1,13646,10,2,0,0,0,0,0
BA1653,EF,8,1,13647,2,3,0,0,0,0,0
BA1653,EF,8,1,13706,3,0,0,0,1,0,0
BA1653,EF,8,1,13735,3,0,0,0,0,0,1
BA1653,EF,8,1,13754,3,0,0,0,1,0,0
BA1653,EF,8,1,13758,3,0,0,0,0,0,1
BA1653,EF,8,1,13829,3,5,1,1,0,0,0
BA1653,EF,8,1,13839,5,9,0,0,0,0,0
BA1653,EF,8,1,13849,9,-1,0,0,0,0,0
